模板类型,业务域,表名/代码集,中文名称,字段/状态码,字段中文名/状态名称,类型/长度,是否主键,是否必填,默认值,取值范围/状态流转,业务规则,来源PBL/对象,接口映射(预留),备注
实体,销售,tsl02_extenddt,,,,,,,,,,app_objects.pbl/nvo_app_selectdata.sru; itsm.pbl/u_itsm_archive.sru; itsm.pbl/u_itsm_rep_archive.sru,,来源=代码/旧字典，待实库校验
实体,销售,tsl05_slpromplan,,,,,,,,,,itsm.pbl/w_r_itsm_accessup.srw; itsm.pbl/w_r_itsm_accessup4pos.srw; itsm.pbl/w_r_itsm_d2d.srw,,来源=代码/旧字典，待实库校验
实体,销售,tsl10_slbill,,,,,,,,,,app_objects.pbl/nvo_app_selectdata.sru; itsm.pbl/u_itsm_archive.sru; itsm.pbl/u_itsm_rep_archive.sru,,来源=代码/旧字典，待实库校验
实体,销售,tsl11_register,,,,,,,,,,new_deposit.pbl/w_invlimit_edit.srw,,来源=代码/旧字典，待实库校验
实体,销售,tsl11_slbillitem,,,,,,,,,,appraisal.pbl/u_app_audit.sru; appraisal.pbl/u_app_manage.sru; purchase.pbl/u_pc_plan.sru,,来源=代码/旧字典，待实库校验
实体,销售,tsl15_pickbill,,,,,,,,,,appraisal.pbl/u_app_manage.sru; purchase.pbl/u_pc_plan.sru; purchase.pbl/u_pc_plan_audit.sru,,来源=代码/旧字典，待实库校验
实体,销售,tsl16_pickbilldt,,,,,,,,,,report.pbl/d_wh_iremtiv.srd; wh.pbl/d_wh_iremtiv_print.srd,,来源=代码/旧字典，待实库校验
实体,销售,tsl20_invoice,,,,,,,,,,sale.pbl/nvo_saleservice.sru,,来源=代码/旧字典，待实库校验
实体,未分类,ttx01_txkmg,,,,,,,,,,lsgldata.pbl/d_mm_txkmg_list.srd; lsgldata.pbl/u_mm_txkmg.sru,,来源=代码/旧字典，待实库校验
实体,仓储,twh01_warehouse,,,,,,,,,,app_d.pbl/d_mc_warehouse_frm.srd; app_d.pbl/d_mc_warehouse_grid.srd; app_dddw.pbl/dd_mc_warehouse_valid.srd,,来源=代码/旧字典，待实库校验
实体,仓储,twh02_location,,,,,,,,,,,,来源=代码/旧字典，待实库校验
实体,仓储,twh03_route,,,,,,,,,,app_dddw.pbl/dd_route.srd,,来源=代码/旧字典，待实库校验
实体,仓储,twh11_detail,,,,,,,,,,app_dddw.pbl/dd_itemprodate.srd; app_objects.pbl/nvo_app_selectdata.sru; new_deposit.pbl/d_asset_wh_other.srd,,来源=代码/旧字典，待实库校验
实体,仓储,twh12_detaildt,,,,,,,,,,report.pbl/d_wh_dayitemqty.srd; report.pbl/d_wh_dayitemqtyprint.srd,,来源=代码/旧字典，待实库校验
实体,仓储,twh13_in,,,,,,,,,,qc.pbl/d_qc_rec_cptj.srd; report.pbl/d_pc_history_d.srd; wh.pbl/d_wh_ediewxfy.srd,,来源=代码/旧字典，待实库校验
实体,仓储,twh14_checkindt,,,,,,,,,,report.pbl/d_pc_history_d.srd; wh.pbl/d_wh_pcin_dt_input.srd; wh.pbl/d_wh_pcin_eid_dt.srd,,来源=代码/旧字典，待实库校验
实体,仓储,twh14_indt,,,,,,,,,,,,来源=代码/旧字典，待实库校验
实体,仓储,twh15_out,,,,,,,,,,app_objects.pbl/nvo_app_selectdata.sru; qc.pbl/d_qc_input_select_h.srd; qc.pbl/w_qc_result_input.srw,,来源=代码/旧字典，待实库校验
实体,仓储,twh16_outdt,,,,,,,,,,,,来源=代码/旧字典，待实库校验
实体,仓储,twh16_outdteid,,,,,,,,,,app_objects.pbl/nvo_app_selectdata.sru; qc.pbl/d_qc_input_select_h.srd; qc.pbl/w_qc_result_input.srw,,来源=代码/旧字典，待实库校验
实体,仓储,twh16_outdtprd,,,,,,,,,,app_objects.pbl/nvo_app_selectdata.sru; qc.pbl/d_qc_input_select_h.srd; qc.pbl/d_qc_rec_cptj.srd,,来源=代码/旧字典，待实库校验
实体,仓储,twh17_overlost,,,,,,,,,,wh_syc.pbl/d_wh_overlost_m_a.srd; wh_syc.pbl/d_wh_overlost_m_g.srd; wh_syc.pbl/u_wh_overlost_add.sru,,来源=代码/旧字典，待实库校验
实体,仓储,twh18_overlostdt,,,,,,,,,,wh_syc.pbl/d_wh_overlost_d_g_new.srd,,来源=代码/旧字典，待实库校验
实体,仓储,twh18_overlosteid,,,,,,,,,,,,来源=代码/旧字典，待实库校验
实体,仓储,twh19_asset_c_a,,,,,,,,,,itsm02.pbl/u_itsm_pos_r_eid_update.sru; wh.pbl/d_asset_auditbill_browse.srd; wh.pbl/d_wh_asset_c_a.srd,,来源=代码/旧字典，待实库校验
实体,仓储,twh20_asset_c_a_dtl,,,,,,,,,,itsm02.pbl/u_itsm_pos_r_eid_update.sru; wh.pbl/d_wh_asset_c_a_new.srd; wh.pbl/u_wh_asset_c_a_audit.sru,,来源=代码/旧字典，待实库校验
实体,仓储,twh21_arrtoroute,,,,,,,,,,,,来源=代码/旧字典，待实库校验
实体,仓储,twh21_pos_change,,,,,,,,,,lsgldata.pbl/d_wt_poschange.srd; lsgldata.pbl/w_r_poschange.srw,,来源=代码/旧字典，待实库校验
实体,仓储,twh22_arrtoroutedt,,,,,,,,,,report.pbl/d_wh_iremtiv.srd; wh.pbl/d_wh_iremtiv_print.srd,,来源=代码/旧字典，待实库校验
实体,仓储,twh22_pos_change_dt,,,,,,,,,,lsgldata.pbl/d_wt_poschange_dt.srd; lsgldata.pbl/d_wt_poschange_q.srd; lsgldata.pbl/dd_wt_pos_pj.srd,,来源=代码/旧字典，待实库校验
实体,视图/报表,u_buttons_v,,,,,,,,,,app_main.pbl/u_buttonsexample.sru,,来源=代码/旧字典，待实库校验
实体,视图/报表,whcd_item_v,,,,,,,,,,wh.pbl/d_wh_stock_report.srd,,来源=代码/旧字典，待实库校验
状态码,通用,childflg,,childflg='0',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,childflg,,childflg='1',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,current_status,,current_status<>'9',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,current_status,,"current_status='""+ls_status +""'",,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,current_status,,current_status='3',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,current_status,,current_status='5',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,current_status,,current_status='9',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,current_status,,"current_statusIN(""+ LEFT(LS_STATUS,LEN(LS_STATUS)",,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_add,,is_add='0',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_add,,is_add='1',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_addtext,,is_addtext='新增(&A)',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_appcommandline,,is_appcommandline='',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_appid,,is_appid='',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_archgroup,,is_archgroup='1',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_audit,,is_audit='0',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_audit,,is_audit='1',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_billid,,is_billid='其他',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_billno,,is_billno='',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_billstatus,,is_billstatus='N',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_billtype,,is_billtype='BG',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_billtype,,is_billtype='BY',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_billtype,,is_billtype='GB',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_billtype,,is_billtype='GH',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_billtype,,is_billtype='LD',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_billtype,,is_billtype='MD',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_billtype,,is_billtype='MO',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_billtype,,is_billtype='MR',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_billtype,,is_billtype='PL',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_bomcd,,is_bomcd='',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_cancel,,is_cancel='N',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_cancel,,is_cancel='Y',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_choose,,is_choose='0',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_choosecolumn,,is_choosecolumn='chooseflag',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_classcd,,is_classcd='',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_classcds,,is_classcds='',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_classcds1,,is_classcds1='',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_classnms,,is_classnms='',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_closetext,,is_closetext='关闭(&C)',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_col_rowno,,is_col_rowno='',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_col_rowno,,is_col_rowno='rowno',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_col_seqno,,is_col_seqno='',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_col_seqno,,is_col_seqno='billno',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_column,,is_column='获取第',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_companycd,,is_companycd='00',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_consume,,is_consume='0',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_consume,,is_consume='1',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_consume,,is_consume='X',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_costtype,,is_costtype='1',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_costtype,,is_costtype='2',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_currentitemlabel,,is_currentitemlabel='',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_custcd,,is_custcd<>'',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_custcd,,is_custcd='',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_dataobject,,is_dataobject='d_itsm_tp_cust_free',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_dataobject,,is_dataobject='d_itsm_tp_levels_free',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_dataobject,,is_dataobject='d_ju_lsgl_customers_form',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_dataobject,,is_dataobject='d_jy_lsgl_customers_form',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_dataobject,,is_dataobject='d_jy_ssb_customers_edit',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_dataobject,,is_dataobject='d_mm_customers_form_1',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_dataobject,,is_dataobject='d_mm_supplier_form_1',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_datatype,,is_datatype='获取',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_datatype,,is_datatype='获取第',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_dateformat,,is_dateformat='',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_decription,,is_decription='上门人员:',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_decription,,is_decription='上门人员描述',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_decription,,is_decription='修改上门人员:',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_decription,,is_decription='修改上门人员及解决方案:',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_decription,,is_decription='催单时间: ',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_decription,,is_decription='免费更换:',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_decription,,is_decription='分派人员:',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_decription,,is_decription='分派人员描述',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_decription,,is_decription='回访:',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_decription,,is_decription='工程师:',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_decription,,is_decription='已提交 ',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_decription,,is_decription='已提交 : 旧设备序列号: ',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_decription,,is_decription='归档人员:',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_decription,,is_decription='归档描述',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_decription,,is_decription='旧机翻新:',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_decription,,is_decription='记录信息时间: ',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_decription,,is_decription='记录回访信息',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_decription,,is_decription='记录开通设备信息',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_decription,,is_decription='记录更换设备信息',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_decription,,is_decription='记录翻新设备信息',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_decription,,is_decription='记录计费信息',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_decription,,is_decription='记录配件更换信息',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_decription,,is_decription='设备开通:',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_decription,,is_decription='配件更换:',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_deletetext,,is_deletetext='删除(&D)',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_delimiter,,is_delimiter='&',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_direction,,is_direction='',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_direction,,is_direction='Down',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_direction,,is_direction='Up',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_edit,,is_edit='0',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_edit,,is_edit='1',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_edit,,is_edit='3',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_editstyle,,is_editstyle='dddw',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_editstyle,,is_editstyle='ddlb',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_edittext,,is_edittext='修改(&E)',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_eid,,is_eid='',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_extyp,,is_extyp='',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_extyp,,is_extyp='BG',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_extyp,,is_extyp='BQ',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_extyp,,is_extyp='BY',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_extyp,,is_extyp='GB',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_extyp,,is_extyp='GH',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_extyp,,is_extyp='MD',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_extyp,,is_extyp='MO',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_extyp,,is_extyp='MR',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_fault_type,,is_fault_type<>'2',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_fault_type,,is_fault_type='1',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_fault_type,,is_fault_type='3',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_filter,,is_filter='',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_filter,,is_filter='?',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_filterlabel,,is_filterlabel='',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_find,,is_find='',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_findexpression,,is_findexpression='!',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_findtext,,is_findtext='查找(&F)',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_finish,,is_finish<>'0',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_finish,,is_finish='0',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_finish,,is_finish='1',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_finish,,is_finish='2',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_finish,,is_finish='3',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_finish,,"is_finishin('1','2')",,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_gdtye,,is_gdtye='0',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_gdtye,,is_gdtye='1',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_group,,is_group<>'Y',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_group,,is_group='N',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_group,,is_group='X',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_group,,is_group='Y',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_gzlx,,is_gzlx='',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_gzlx,,is_gzlx='1',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_gzlx,,is_gzlx='2',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_gzlx,,is_gzlx='3',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_hd_djbh,,is_hd_djbh='',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_hd_djbh,,is_hd_djbh='djbh',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_hd_seqno,,is_hd_seqno='',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_hd_seqno,,is_hd_seqno='billno',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_id,,is_id='',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_invtyp,,is_invtyp='1',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_invtyp,,is_invtyp='2',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_invtyp,,is_invtyp='3',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_invtyp,,is_invtyp='4',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_invtyp,,is_invtyp='5',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_invtyp,,is_invtyp='6',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_invtyp,,is_invtyp='7',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_invtyp,,is_invtyp='8',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_invtyp,,is_invtyp='9',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_invtyp,,is_invtyp='S',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_itemcd,,is_itemcd='',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_itemcd,,is_itemcd='~',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_itemcds,,is_itemcds='',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_itemcds1,,is_itemcds1='',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_itemclasscds,,is_itemclasscds='',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_itemclassnms,,is_itemclassnms='',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_itemnms,,is_itemnms='',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_itemtyp,,is_itemtyp='JP',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_location,,is_location='',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_mfidfilter,,is_mfidfilter=' 1=1 ',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_mid,,is_mid='',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_mktfilter,,is_mktfilter=' 1=1 ',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_msg,,is_msg<>'YCBY',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_new,,"is_new='""+ls_tmp+""'",,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_no,,is_no='',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_old,,is_old='Y',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_opbillid,,is_opbillid='',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_oper,,is_oper<>'',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_operation,,is_operation='上门人员',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_operation,,is_operation='免费更换',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_operation,,is_operation='分派人员',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_operation,,is_operation='单据归档',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_operation,,is_operation='回访',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_operation,,is_operation='旧机翻新',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_operation,,is_operation='计费',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_operation,,is_operation='设备开通',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_operation,,is_operation='配件更换',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_opertyp,,is_opertyp='new',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_optyp,,is_optyp='C1',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_paperbinname,,is_paperbinname='',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_papername,,is_papername='',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_parm,,is_parm='A',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_parm,,is_parm='DL',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_pctyp,,is_pctyp<>'TH',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_pctyp,,is_pctyp='CG',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_pctyp,,is_pctyp='ID',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_pctyp,,is_pctyp='JP',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_pctyp,,is_pctyp='TH',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_pctyp,,is_pctyp='TS',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_pctyp,,is_pctyp='ZC',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_posid,,is_posid='',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_prefocuscolumn,,is_prefocuscolumn<>'@@@@@@',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_prefocuscolumn,,is_prefocuscolumn='@@@@@@',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_presentation,,is_presentation='style(type=grid) ',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_prninifile,,is_prninifile='print_setup.ini',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_prnname,,is_prnname='',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_rec,,is_rec='null',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_replacetext,,is_replacetext='替换(&R)',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_replacewith,,is_replacewith='',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_rs,,is_rs='',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_savetext,,is_savetext='保存(&S)',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_setupname,,is_setupname='默认配置',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_sorttext,,is_sorttext='排序(&O)',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_status,,is_status='0',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_status,,is_status='1',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_success,,is_success='0',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_success,,is_success='1',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_successfilename,,is_successfilename='',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_taskid,,is_taskid='S01',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_textprev,,is_textprev='',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_title,,is_title<>'分配',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_title,,is_title='3G卡号编辑',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_title,,is_title='仓库',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_title,,is_title='供应商',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_title,,is_title='修改',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_title,,is_title='催单',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_title,,is_title='分配',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_title,,is_title='到店',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_title,,is_title='发票管理编辑',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_title,,is_title='发送',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_title,,is_title='合同管理编辑',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_title,,is_title='回访',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_title,,is_title='固定资产信息',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_title,,is_title='客户3G信息维护',,,,,,,,代码抽取,,来源=代码，待业务确认
状态码,通用,is_title,,is_title='导入Excel提示',,,,,,,,代码抽取,,来源=代码，待业务确认
